timestamp,contract_type,action_taken,tx_hash,range_width_multiplier_setting,predictedPrice_api,predictedTick_calculated,external_api_eth_price,actualPrice_pool,sqrtPriceX96_pool,currentTick_pool,targetTickLower_calculated,targetTickUpper_calculated,initial_contract_balance_token0,initial_contract_balance_token1,finalTickLower_contract,finalTickUpper_contract,liquidity_contract,amount0_provided_to_mint,amount1_provided_to_mint,fees_collected_token0,fees_collected_token1,num_swaps_executed,gas_used,gas_cost_eth,error_message,currentTick_pool_WETHUSDC_price,finalTickLower_contract_WETHUSDC_price,finalTickUpper_contract_WETHUSDC_price,predictedTick_calculated_WETHUSDC_price,amount_USDC_minted_readable,amount_USDC_minted_usd,initial_balance_USDC_readable,initial_balance_USDC_usd,fees_USDC_collected_readable,fees_USDC_collected_usd,amount_WETH_minted_readable,amount_WETH_minted_usd,initial_balance_WETH_readable,initial_balance_WETH_usd,fees_WETH_collected_readable,fees_WETH_collected_usd
2025-07-19 08:07:12,Predictive,fees_collect_only_success,0x5815dcd56caa97bd4bd7ad993fda03c4a8afc4e31485543e0f98e6171b7ee376,20,3569.7462,194517,3575.57,3565.465,1.3268489848597495e+33,194529,0,0,2000000000000.0,5e+19,194420,194630,7.220573285329614e+17,273300218594.0,5e+19,65898948,2.6473755357332092e+16,35,516793,0.00058,,3565.6217,3604.6976,3529.7919,3569.9028,273300.2186,273300.2186,2000000.0,2000000.0,65.898948,65.8989,50.0,130825.0,50.0,130825.0,0.02647376,69.2686
2025-07-19 12:07:23,Predictive,fees_collect_only_success,0x59a269264b7343b6b08ba4c94af3246880786991b22c8e3acb5fda861a36ac9e,20,3570.6147,194515,3554.68,3561.1799,1.3276470333926835e+33,194541,0,0,2000000000000.0,5e+19,194400,194610,3.711566063619656e+17,53833038981.0,5e+19,51242921,1.13054890980164e+16,35,516435,0.000573,,3561.3457,3611.9138,3536.8582,3570.6168,53833.039,53833.039,2000000.0,2000000.0,51.242921,51.2429,50.0,130825.0,50.0,130825.0,0.01130549,29.5808
2025-07-19 16:07:11,Predictive,fees_collect_only_success,0x2ebbffe5a5f16a2a9d475752eaa8b02c59c4991677cdf2a6c78b3e3ae86d1998,20,3552.5368,194565,3556.24,3549.4656,1.3298360461494174e+33,194574,0,0,2000000000000.0,5e+19,194450,194660,5.671385016347572e+17,176358813467.0,5e+19,45526908,1.7341146185486642e+16,35,601958,0.000728,,3549.6132,3593.9002,3519.2189,3552.8091,176358.8135,176358.8135,2000000.0,2000000.0,45.526908,45.5269,50.0,130825.0,50.0,130825.0,0.01734115,45.3731
2025-07-19 20:07:22,Predictive,fees_collect_only_success,0xfc3a161c638cee25e8e22568f9905b586192eed9f27aa8e235005207f9f0c63a,20,3578.1801,194493,3577.02,3576.6032,1.3247813460178636e+33,194498,0,0,2000000000000.0,5e+19,194400,194610,6.397973683814602e+17,221855104108.0,5e+19,26914927,8735546743684823.0,35,601930,0.000649,,3576.6917,3611.9138,3536.8582,3578.4804,221855.1041,221855.1041,2000000.0,2000000.0,26.914927,26.9149,50.0,130825.0,50.0,130825.0,0.00873555,22.8566
2025-07-20 00:07:24,Predictive,fees_collect_only_success,0x4bf5fe640075559ab8b432cede975503e1c3bba0d37e908550b50701d46edb0e,20,3601.9415,194427,3594.11,3596.8412,1.3210490819114305e+33,194441,0,0,2000000000000.0,5e+19,194310,194520,4.295150316638664e+17,89869766368.0,5e+19,26494068,5887642139584591.0,35,516821,0.000552,,3597.136,3644.5661,3568.832,3602.1753,89869.7664,89869.7664,2000000.0,2000000.0,26.494068,26.4941,50.0,130825.0,50.0,130825.0,0.00588764,15.405
2025-07-20 04:07:34,Predictive,fees_collect_only_success,0x6c605ee0bc38d5a97430561755d513e1994c7361c60bccd5f218bb77cae7f249,20,3665.8378,194251,3664.85,3663.3404,1.3090039099042913e+33,194258,0,0,2000000000000.0,5e+19,194130,194340,4.409651741101987e+17,96294509666.0,5e+19,32562756,7237202663705812.0,35,482565,0.000553,,3663.5663,3710.7589,3633.6493,3666.1315,96294.5097,96294.5097,2000000.0,2000000.0,32.562756,32.5628,50.0,130825.0,50.0,130825.0,0.0072372,18.9361
2025-07-20 08:07:14,Predictive,fees_collect_only_success,0x6cc055101794e0302b637196fd6b2abbe1ee257fecac11310ec38efe334ad107,20,3700.6275,194157,3678.31,3675.4845,1.3068395932120425e+33,194225,0,0,2000000000000.0,5e+19,194060,194260,3.498919614815212e+17,27587787641.0,5e+19,24446038,5431936017428197.0,35,516520,0.000585,,3675.6754,3736.8241,3662.8337,3700.7539,27587.7876,27587.7876,2000000.0,2000000.0,24.446038,24.446,50.0,130825.0,50.0,130825.0,0.00543194,14.2127
2025-07-20 12:07:18,Predictive,fees_collect_only_success,0xce5afc5efcf5889182666cfc4549b1c639300f17f9d57e3a2def6067dc2e1191,20,3751.9676,194019,3750.33,3748.671,1.29401979670236e+33,194028,0,0,2000000000000.0,5e+19,193920,194130,6.79768521671603e+17,248439697648.0,5e+19,36919034,1.4838319512568516e+16,35,516709,0.000694,,3748.8005,3789.5049,3710.7589,3752.1757,248439.6976,248439.6976,2000000.0,2000000.0,36.919034,36.919,50.0,130825.0,50.0,130825.0,0.01483832,38.8245
2025-07-20 16:07:31,Predictive,fees_collect_only_success,0xea9e50d96399b3e1947c591052a54e6c251b26f33703a46d1f0c5065b3b6afc7,20,3781.8375,193940,3786.04,3778.4998,1.2889019517602348e+33,193949,0,0,2000000000000.0,5e+19,193830,194040,5.976440663790239e+17,195787346659.0,5e+19,33167441,1.2635199095471892e+16,35,482621,0.000729,,3778.5318,3823.7626,3744.3048,3781.9338,195787.3467,195787.3467,2000000.0,2000000.0,33.167441,33.1674,50.0,130825.0,50.0,130825.0,0.0126352,33.06
2025-07-20 20:07:18,Predictive,fees_collect_only_success,0x76ecdc3ce06f5d75773948f60c674488f9b15213122d834d7eb42e50eac5fbde,20,3750.4227,194023,3762.75,3747.102,1.2942906953360752e+33,194032,0,0,2000000000000.0,5e+19,193890,194100,4.7603353989099584e+17,117706009620.0,5e+19,27692414,9999901129047384.0,35,516765,0.000671,,3747.3013,3800.8899,3721.9074,3750.6752,117706.0096,117706.0096,2000000.0,2000000.0,27.692414,27.6924,50.0,130825.0,50.0,130825.0,0.0099999,26.1647
