timestamp,contract_type,action_taken,tx_hash,range_width_multiplier_setting,predictedPrice_api,predictedTick_calculated,external_api_eth_price,actualPrice_pool,sqrtPriceX96_pool,currentTick_pool,targetTickLower_offchain,targetTickUpper_offchain,initial_contract_balance_token0,initial_contract_balance_token1,currentTickLower_contract,currentTickUpper_contract,currentLiquidity_contract,finalTickLower_contract,finalTickUpper_contract,finalLiquidity_contract,amount0_provided_to_mint,amount1_provided_to_mint,fees_collected_token0,fees_collected_token1,num_swaps_executed,gas_used,gas_cost_eth,error_message,currentTick_pool_WETHUSDC_price,finalTickLower_contract_WETHUSDC_price,finalTickUpper_contract_WETHUSDC_price,predictedTick_calculated_WETHUSDC_price,amount_USDC_minted_readable,amount_USDC_minted_usd,initial_balance_USDC_readable,initial_balance_USDC_usd,fees_USDC_collected_readable,fees_USDC_collected_usd,amount_WETH_minted_readable,amount_WETH_minted_usd,initial_balance_WETH_readable,initial_balance_WETH_usd,fees_WETH_collected_readable,fees_WETH_collected_usd
2025-07-22 12:08:20,Baseline,fees_collect_only_success,0x9da63d9422538194d16c0952a604694767052ef4500eb3b55eca8ec86b816d0d,20,3705.2901,194144,3708.78,3701.9551,1.3021589746688863e+33,194153,194050,194250,2000000000000.0,5e+19,0,0,0,194030,194230,5.776052693527469e+17,165423273532.0,5e+19,32434212,1.303992022345032e+16,35,604908,0.000721,,3702.2344,3748.0508,3673.8381,3705.5678,165423.2735,165423.2735,2000000.0,2000000.0,32.434212,32.4342,50.0,130825.0,50.0,130825.0,0.01303992,34.119
2025-07-22 16:08:34,Baseline,fees_collect_only_success,0xc1fce39daefc1f82f192fe5b8693711ad1015ac1066a7c1e9635921b6087c6a2,20,3712.6513,194124,3721.23,3709.3018,1.3008687993165508e+33,194133,194030,194230,2000000000000.0,5e+19,0,0,0,194000,194200,5.6133131407073344e+17,155493570102.0,5e+19,28707164,1.3495047026020236e+16,35,519575,0.000791,,3709.6459,3759.3113,3684.8756,3712.986,155493.5701,155493.5701,2000000.0,2000000.0,28.707164,28.7072,50.0,130825.0,50.0,130825.0,0.01349505,35.3098
2025-07-22 20:08:21,Baseline,fees_collect_only_success,0x53ee3fff65fe3c5c008ce323af2019081a455d76439174e06b1b2cbb7998c89a,20,3712.4111,194125,3673.95,3674.3945,1.307033416443973e+33,194228,194120,194320,2000000000000.0,5e+19,0,0,0,194130,194330,5.6471629240074106e+17,157728634114.0,5e+19,42497116,9443869857424616.0,35,519603,0.000753,,3674.5729,3710.7589,3637.2846,3712.6147,157728.6341,157728.6341,2000000.0,2000000.0,42.497116,42.4971,50.0,130825.0,50.0,130825.0,0.00944387,24.7099
2025-07-23 00:08:10,Baseline,fees_collect_only_success,0x47aa8660f139ed7088a6cb79dbb5c4afdb056eb60342b40d0440ca620c510b90,20,3747.6447,194031,3743.82,3745.5319,1.2945619362011938e+33,194036,193930,194130,2000000000000.0,5e+19,0,0,0,193920,194120,5.756317186520647e+17,164101960830.0,5e+19,20754162,7906347504451307.0,35,485291,0.00055,,3745.8028,3789.5049,3714.4714,3747.676,164101.9608,164101.9608,2000000.0,2000000.0,20.754162,20.7542,50.0,130825.0,50.0,130825.0,0.00790635,20.687
2025-07-23 04:08:14,Baseline,fees_collect_only_success,0x124a2a466cd6c095f835e177254a1cfd3d1ea75517a002ae9eb4375f33e2b211,20,3753.1601,194016,3729.21,3730.9091,1.2970963944439308e+33,194075,193970,194170,2000000000000.0,5e+19,0,0,0,193980,194180,6.067465385168497e+17,183119783939.0,5e+19,27467103,6103855991344405.0,35,519603,0.000607,,3731.2233,3766.8371,3692.2524,3753.3015,183119.7839,183119.7839,2000000.0,2000000.0,27.467103,27.4671,50.0,130825.0,50.0,130825.0,0.00610386,15.9707
2025-07-23 08:08:24,Baseline,fees_collect_only_success,0xd9f158bff3530cba5afcd6f05a17459d51efe6e05be1f03caba2f00e3daf623a,20,3700.1053,194158,3671.76,3678.5233,1.3062996956417813e+33,194217,194110,194310,2000000000000.0,5e+19,0,0,0,194120,194320,5.731764056841512e+17,162831228152.0,5e+19,41700117,9254619263963316.0,35,519519,0.000586,,3678.617,3714.4714,3640.9236,3700.3839,162831.2282,162831.2282,2000000.0,2000000.0,41.700117,41.7001,50.0,130825.0,50.0,130825.0,0.00925462,24.2147
2025-07-23 12:08:20,Baseline,fees_collect_only_success,0x68182eb28b95a55f7f5a0b3d5769465c795812a1661a7d612d010c9c28debc9d,20,3673.9082,194229,3672.68,3671.1716,1.307607006079863e+33,194237,194130,194330,2000000000000.0,5e+19,0,0,0,194130,194330,6.070737967780106e+17,183332169557.0,5e+19,34354727,1.1150210670222292e+16,35,519603,0.000695,,3671.2675,3710.7589,3637.2846,3674.2055,183332.1696,183332.1696,2000000.0,2000000.0,34.354727,34.3547,50.0,130825.0,50.0,130825.0,0.01115021,29.1745
2025-07-23 16:08:20,Baseline,fees_collect_only_success,0x4dcb5bd2aca14aeae775ec83279f590fd256db339d71dd08b125899a1a5f5b63,20,3624.4231,194365,3638.43,3626.9424,1.315555738420044e+33,194358,194250,194450,2000000000000.0,5e+19,0,0,0,194200,194400,5.541149588246503e+17,151432410688.0,5e+19,50008379,2.5097127317456644e+16,35,564212,0.000938,,3627.115,3684.8756,3611.9138,3624.577,151432.4107,151432.4107,2000000.0,2000000.0,50.008379,50.0084,50.0,130825.0,50.0,130825.0,0.02509713,65.6666
2025-07-23 20:08:21,Baseline,fees_collect_only_success,0x2dfd5191167a299b6a805b57a73dee4b016f20f4b90c41bd221f37c3fa39f7de,20,3600.0421,194432,3596.33,3595.8165,1.3212372998675224e+33,194444,194340,194540,2000000000000.0,5e+19,0,0,0,194350,194550,5.504524467423415e+17,149463437445.0,5e+19,59584251,1.324112139968256e+16,35,519743,0.000725,,3596.0571,3630.0177,3558.1421,3600.3747,149463.4374,149463.4374,2000000.0,2000000.0,59.584251,59.5843,50.0,130825.0,50.0,130825.0,0.01324112,34.6454
2025-07-24 00:08:19,Baseline,fees_collect_only_success,0x9c212247668aa069948550903cf89932dbccad66eee276c6dc0e7869bf755b94,20,3615.2531,194390,3624.66,3610.2867,1.318586846272049e+33,194404,194300,194500,2000000000000.0,5e+19,0,0,0,194250,194450,5.804482625487551e+17,167328234091.0,5e+19,54691272,2.7319823644809476e+16,35,530068,0.000644,,3610.4694,3666.4981,3593.9002,3615.5273,167328.2341,167328.2341,2000000.0,2000000.0,54.691272,54.6913,50.0,130825.0,50.0,130825.0,0.02731982,71.4823
2025-07-24 04:08:18,Baseline,fees_collect_only_success,0xe26ec30424f4027facc7b2becdd1c904778f234edf107b16ea72f6ce9cf908aa,20,3657.2079,194275,3649.95,3649.564,1.3114722118688488e+33,194296,194190,194390,2000000000000.0,5e+19,0,0,0,194200,194400,5.537977447983516e+17,151241392604.0,5e+19,42734781,8722976617235875.0,35,564212,0.00065,,3649.6718,3684.8756,3611.9138,3657.3438,151241.3926,151241.3926,2000000.0,2000000.0,42.734781,42.7348,50.0,130825.0,50.0,130825.0,0.00872298,22.8237
2025-07-24 08:08:22,Baseline,fees_collect_only_success,0x71e44dd95077b2b5bff587f656541769a27bdceb4c18ec4255fab5396667ee13,20,3609.6679,194406,3585.53,3600.1592,1.3204401846810888e+33,194432,194330,194530,2000000000000.0,5e+19,0,0,0,194340,194540,5.620230473659393e+17,156367723371.0,5e+19,64846679,1.4641466694234528e+16,35,530096,0.000649,,3600.3747,3633.6493,3561.7018,3609.7474,156367.7234,156367.7234,2000000.0,2000000.0,64.846679,64.8467,50.0,130825.0,50.0,130825.0,0.01464147,38.3094
2025-07-24 12:08:22,Baseline,fees_collect_only_success,0x9fef0c67a28c00271ec34a70501b91f946b749de949df3ce081dcae2a4224fa1,20,3658.0988,194272,3657.86,3655.5021,1.310406588093544e+33,194280,194180,194380,2000000000000.0,5e+19,0,0,0,194170,194370,6.038356047979319e+17,181378339743.0,5e+19,34837404,1.1926318515287802e+16,35,488541,0.000552,,3655.5157,3695.9463,3622.7653,3658.4411,181378.3397,181378.3397,2000000.0,2000000.0,34.837404,34.8374,50.0,130825.0,50.0,130825.0,0.01192632,31.2052
2025-07-24 16:08:34,Baseline,fees_collect_only_success,0xcb56672eea51b547e63b1b64c35a4ac449781aaf68890030cb78bd2d31cbc321,20,3695.0912,194172,3728.13,3721.7849,1.2986853809738436e+33,194100,194000,194200,2000000000000.0,5e+19,0,0,0,193970,194170,5.771995667010458e+17,165114323615.0,5e+19,24757377,1.2379100067453486e+16,35,519659,0.00073,,3721.9074,3770.6056,3695.9463,3695.2072,165114.3236,165114.3236,2000000.0,2000000.0,24.757377,24.7574,50.0,130825.0,50.0,130825.0,0.0123791,32.3899
2025-07-24 20:08:23,Baseline,fees_collect_only_success,0x757e82465cb0e18e64da20c6fbf8b782aa7869ae802dee5f85fb471fc564c8f2,20,3741.7406,194046,3730.99,3737.642,1.2959275883232764e+33,194057,193950,194150,2000000000000.0,5e+19,0,0,0,193960,194160,5.835197859400983e+17,168956143635.0,5e+19,37967710,8437287242269801.0,35,485375,0.000596,,3737.9452,3774.3779,3699.6439,3742.059,168956.1436,168956.1436,2000000.0,2000000.0,37.96771,37.9677,50.0,130825.0,50.0,130825.0,0.00843729,22.0762
2025-07-25 00:08:34,Baseline,fees_collect_only_success,0xe31ec4e6f3d9de249efb52b8f618c4eb6ef23d1885a8ce5ecec763218cfa26b2,20,3714.2604,194120,3701.73,3710.211,1.3007093931767588e+33,194131,194030,194230,2000000000000.0,5e+19,0,0,0,194030,194230,5.579697861851209e+17,153497247108.0,5e+19,38537557,8563931832264510.0,35,604908,0.000667,,3710.3879,3748.0508,3673.8381,3714.4714,153497.2471,153497.2471,2000000.0,2000000.0,38.537557,38.5376,50.0,130825.0,50.0,130825.0,0.00856393,22.4075
2025-07-25 04:08:20,Baseline,fees_collect_only_success,0x24b2d86a6249e22fd03b0160fdb963dad905341d31da691a829fda880a454a08,20,3611.5934,194400,3598.61,3602.1585,1.3200736824174655e+33,194427,194320,194520,2000000000000.0,5e+19,0,0,0,194340,194540,5.916115286082716e+17,174065599608.0,5e+19,71714005,1.6308012364654666e+16,35,530096,0.000584,,3602.1753,3633.6493,3561.7018,3611.9138,174065.5996,174065.5996,2000000.0,2000000.0,71.714005,71.714,50.0,130825.0,50.0,130825.0,0.01630801,42.6699
2025-07-25 08:08:12,Baseline,fees_collect_only_success,0xa14cd3835a3f475dc1a11380a9dd668ffd66255bf42c000275aa7f6fcfcd2e1f,20,3610.387,194404,3636.06,3615.8879,1.3175651741988215e+33,194389,194280,194480,2000000000000.0,5e+19,0,0,0,194240,194440,5.813432218998993e+17,167859133591.0,5e+19,48858211,2.439176581269503e+16,35,570540,0.000644,,3615.8889,3670.1663,3597.4957,3610.4694,167859.1336,167859.1336,2000000.0,2000000.0,48.858211,48.8582,50.0,130825.0,50.0,130825.0,0.02439177,63.8211
2025-07-25 12:08:31,Baseline,fees_collect_only_success,0xc06f9b422b3809ccf452e44602fd444fc088d575b8766be145c9443ff3e47add,20,3685.663,194197,3724.02,3714.4995,1.2999583251989237e+33,194119,194010,194210,2000000000000.0,5e+19,0,0,0,193990,194190,5.813873737288933e+17,167684460668.0,5e+19,26350241,1.297822803193097e+16,35,519631,0.000578,,3714.8428,3763.0723,3688.5622,3685.9812,167684.4607,167684.4607,2000000.0,2000000.0,26.350241,26.3502,50.0,130825.0,50.0,130825.0,0.01297823,33.9575
